"Product SKU","Product Name","Price"
"421005","Бумага индикаторная фенолфталеиновая (100 полосок)","124"
"200131","Фенолфталеин, ЧДА, 0,05 кг","230"
"373313","Натрий гидроокись 0,1Н, 5 шт.","71"
"533001","Натрий метабисульфит (пиросульфит натрия), Германия, 0,5 кг","95"
"905172","Трубка вакуумная резиновая 6х6, 3метра","392"
"","Вариация #1520 для Хромокалиевые квасцы, Чехия","89"
"","Вариация #1519 для Хромокалиевые квасцы, Чехия","248"
"613004","Хромокалиевые квасцы, Чехия","89"
"","Вариация #1517 для Лецитин Lecisoy 400 (жидкий), Cargill, США","259"
"","Вариация #1516 для Лецитин Lecisoy 400 (жидкий), Cargill, США","2260"
"433069","Лецитин Lecisoy 400 (жидкий), Cargill, США","259"
"421004","Бумага индикаторная лакмусовая красная (100 полосок)","131"
"223009","Оксид цинка (цинк окись), 0,5 кг, Перу","244"
"","Вариация #1500 для Барий сернокислый (сульфат бария) Ч","69"
"","Вариация #1499 для Барий сернокислый (сульфат бария) Ч","149"
"021235","Барий сернокислый (сульфат бария) Ч","69"
"010224","Аммоний фтористый кислый (бифторид аммония), 0,5 кг","183"
"","Вариация #1489 для Натрий двухромовокислый ЧДА","58"
"","Вариация #1488 для Натрий двухромовокислый ЧДА","250"
"130142","Натрий двухромовокислый ЧДА","58"
"","Вариация #1479 для Черновик","24"
"","Вариация #1478 для Щавелевая кислота, Китай","92"
"","Вариация #1477 для Щавелевая кислота, Китай","179"
"990867","Щавелевая кислота, Китай","24"
"","Вариация #1475 для Калий азотистокислый ЧДА","292"
"","Вариация #1474 для Калий азотистокислый ЧДА","990"
"100070","Калий азотистокислый ЧДА","292"
"443023","Глицерин, Германия, 6 кг","750"
"133039","Тринатрийфосфат, техн., 1 кг","88"
"120058","Магний углекислый (магнезия) основной, Ч, 0,5 кг","210"
"","Вариация #1422 для Вода дистилированная","33"
"","Вариация #1421 для Вода дистилированная","271"
"033060","Вода дистилированная","33"
"","Вариация #1415 для Селенистая кислота, Ч","546"
"","Вариация #1414 для Селенистая кислота, Ч","2431"
"170761","Селенистая кислота, Ч","546"
"103189","Кальций хлористый 2-водный для пищевой промышленности Ч, 1 кг","69"
"","Вариация #1404 для Бумага фильтровальная (840х970-1000 мм), 1 кг","395"
"","Вариация #1403 для Бумага фильтровальная (840х970-1000 мм), 1 кг","1455"
"","Вариация #1402 для Бумага фильтровальная (520х600 мм), 1 кг","341"
"","Вариация #1401 для Бумага фильтровальная (520х600 мм), 1 кг","2570"
"906261","Трубка силиконовая 10х2, 5 метров","852"
"996024","Ареометр АСП-3 70-100 для спирта","210"
"905148","Трубка силиконовая 7х1.5, 3 метра","251"
"905063","Трубка силиконовая 6х1.5, 3 метра","326"
"905129","Трубка силиконовая 4х1.5, 1 метр","59"
"203003","Титан двуокись (диоксид титана, титановые белила), 0,5 кг","187"
"203037","Ортофосфорная кислота (85%), Китай, 1,6 кг","327"
"","Вариация #1389 для Натрий азотистокислый (нитрит натрия), Китай","96"
"","Вариация #1388 для Натрий азотистокислый (нитрит натрия), Китай","146"
"133067","Натрий азотистокислый (нитрит натрия), Китай","96"
"","Вариация #1386 для Натрий азотнокислый (нитрат натрия) ХЧ","56"
"","Вариация #1385 для Натрий азотнокислый (нитрат натрия) ХЧ","243"
"130087","Натрий азотнокислый (нитрат натрия) ХЧ","56"
"","Вариация #1382 для Магний сернокислый 7-водный ХЧ","15"
"","Вариация #1381 для Магний сернокислый 7-водный ХЧ","54"
"120054","Магний сернокислый 7-водный ХЧ","15"
"","Вариация #1377 для Лаурилсульфат натрия, Тайвань","90"
"","Вариация #1376 для Лаурилсульфат натрия, Тайвань","312"
"533012","Лаурилсульфат натрия, Тайвань","90"
"","Вариация #1359 для Натрий тетраборнокислый 10-водный ХЧ","56"
"","Вариация #1358 для Натрий тетраборнокислый 10-водный ХЧ","241"
"130267","Натрий тетраборнокислый 10-водный ХЧ","56"
"980032","Тиомочевина, Китай, 0,5 кг","183"
"","Вариация #1353 для Формалин 37%, техн.","89"
"","Вариация #1352 для Формалин 37%, техн.","740"
"203045","Формалин 37%, техн.","89"
"","Вариация #1350 для Натрий гидроокись, Германия","97"
"","Вариация #1349 для Натрий гидроокись, Германия","152"
"533044","Натрий гидроокись, Германия","97"
"011378","Аммиак водный ОСЧ, 0,9 кг","84"
"013074","Алюминий сернокислый (АЛГ), Финляндия, 1 кг","73"
"100109","Калий двухромовокислый, ЧДА, 0,5 кг","515"
"260014","Эозин Н, 0,05 кг","336"
"103197","Кальций углекислый, Италия, 0,5 кг","73"
"901944","Электролит для pH &#8212; электрода  KCl конц. 3,0М, 125 мл","686"
"994883","Электрод комбинированный ЭСК-10603/7","2773"
"998339","Термометр лабораторный ТЛ-4 №3 (50&#8230;105) ртуть","2979"
"","Вариация #1276 для Уголь активированный марки БАУ-А, техн.","309"
"","Вариация #1275 для Уголь активированный марки БАУ-А, техн.","2560"
"193012","Уголь активированный марки БАУ-А, техн.","309"
"","Вариация #1269 для Аммоний хлористый ХЧ","24"
"","Вариация #1268 для Аммоний хлористый ХЧ","94"
"010317","Аммоний хлористый ХЧ","24"
"133074","Натрий серноватистокислый (тиосульфат натрия), техн., 0,5 кг","62"
"103074","Калий углекислый (поташ), Китай, 0,5 кг","67"
"","Вариация #1264 для Натрий гидроокись (едкий натр) ЧДА, Россия","39"
"103288","Калий бромистый (бромид калия), Германия, 0,5 кг","369"
"900002","Карбонат натрия безводный марки Б, техн., 1 кг","41"
"","Вариация #1260 для Натрий сернокислый безводный ХЧ","27"
"","Вариация #1259 для Натрий сернокислый безводный ХЧ","114"
"130246","Натрий сернокислый безводный ХЧ","27"
"","Вариация #1257 для Метол","515"
"","Вариация #1256 для Метол","2311"
"523013","Метол, Индия","515"
"","Вариация #1253 для Гематоксилин, США","890"
"","Вариация #1252 для Гематоксилин, США","4011"
"","Вариация #1251 для Гематоксилин, США","36398"
"443022","Гематоксилин, США","890"
"133045","Бура марки А, техн., 1 кг","148"
"420124","Бумага индикаторная универсальная рН 0-12, 100 полосок, Чехия","254"
"","Вариация #1245 для Гидрофобизатор НЕОГАРД для дерева","886"
"","Вариация #1244 для Гидрофобизатор НЕОГАРД для дерева","2060"
"070016","Гидрофобизатор НЕОГАРД для дерева","886"
"193028","Уголь активированный марка АГ-3, техн., 1 кг","372"
"","Вариация #1221 для Перекись водорода, марка Б, в/сорт, технич.","132"
"","Вариация #1220 для Перекись водорода, марка Б, в/сорт, технич.","864"
"153098","Перекись водорода, марка Б, в/сорт, технич.","132"
"","Вариация #1214 для Дихлорэтан ХЧ","43"
"","Вариация #1213 для Дихлорэтан ХЧ","366"
"053066","Дихлорэтан ХЧ","43"
"","Вариация #1210 для Олово двухлористое, Китай","239"
"","Вариация #1209 для Олово двухлористое, Китай","1098"
"143056","Олово двухлористое, Китай","239"
"","Вариация #1207 для Калий железосинеродистый (красная кровяная соль)","129"
"","Вариация #1206 для Калий железосинеродистый (красная кровяная соль)","522"
"100117","Калий железосинеродистый (красная кровяная соль)","129"
"","Вариация #1204 для Лантан хлористый 7-водный ХЧ","735"
"","Вариация #1203 для Лантан хлористый 7-водный ХЧ","5766"
"110317","Лантан хлористый 7-водный ХЧ","735"
"","Вариация #1198 для Натрий углекислый кислый (сода пищевая)","64"
"","Вариация #1197 для Натрий углекислый кислый (сода пищевая)","950"
"133089","Натрий углекислый кислый (сода пищевая)","64"
"093007","Известь натронная (поглотитель ХП-И), техн., 0,5 кг","231"
"","Вариация #1193 для Магний хлористый 6-водный ЧДА","38"
"","Вариация #1192 для Магний хлористый 6-водный ЧДА","159"
"120070","Магний хлористый 6-водный ЧДА","38"
"133068","Натрий метасиликат 5-водный, Китай, 0,5 кг","46"
"133054","Натрий триполифосфат пищевой, 1 кг","162"
"","Вариация #1183 для Салициловая кислота, Китай","123"
"","Вариация #1182 для Салициловая кислота, Китай","408"
"173252","Салициловая кислота, Китай","123"
"","Вариация #1180 для Медь сернокислая (II) 5-водная (медный купорос) марка А, 1 сорт, техн.","260"
"","Вариация #1179 для Медь сернокислая (II) 5-водная (медный купорос) марка А, 1 сорт, техн.","4337"
"123079","Медь сернокислая (II) 5-водная (медный купорос) марка А, 1 сорт, техн., 1 кг","260"
"","Вариация #1176 для Медь сернокислая (II) 5-водная (медный купорос), ЧДА","46"
"","Вариация #1175 для Медь сернокислая (II) 5-водная (медный купорос), ЧДА","192"
"120194","Медь сернокислая (II) 5-водная (медный купорос), ЧДА","46"
"","Вариация #1173 для Аммиак водный ЧДА, 0,9 кг","65"
"","Вариация #1172 для Аммиак водный ЧДА, 0,9 кг","436"
"123048","Муравьиная кислота (85%), Китай, 1,2 кг","214"
"010217","Аммиак водный ЧДА","65"
"183102","Тальк, Финляндия, 0,5 кг","81"
"","Вариация #1166 для Сорбиновая кислота, Китай","435"
"","Вариация #1165 для Сорбиновая кислота, Китай","131"
"173070","Сорбиновая кислота, Китай","131"
"173059","Силикагель КСКГ, техн., 1 кг","125"
"103234","Кальций хлористый 2-водный пищевой, Финляндия, 0,5 кг","44"
"","Вариация #1161 для Железо треххлористое 6-водное (ч)","36"
"","Вариация #1160 для Железо треххлористое 6-водное (ч)","99"
"","Вариация #1159 для Железо треххлористое 6-водное (ч)","164"
"070063","Железо треххлористое 6-водное (ч)","36"
"420138","Бумага индикаторная универсальная рН 0-12","131"
"","Вариация #1152 для Алюмокалиевые квасцы, ХЧ","34"
