"Product SKU","Product Name","Price"
"121281","Марганец хлористый (II) 4-водный (хлорид марганца (II), Ч","110"
"","Вариация #2578 для Лантан азотнокислый 6-водный, ХЧ","334"
"","Вариация #2577 для Лантан азотнокислый 6-водный (нитрат лантана (III), ХЧ","2271"
"110315","Лантан азотнокислый 6-водный (нитрат лантана (III), ХЧ","334"
"113020","Лактоза (Молочный сахар), Германия, 0,5 кг","172"
"","Вариация #2573 для Кобальт азотнокислый (II) 6-водный, Ч","199"
"","Вариация #2572 для Кобальт азотнокислый (II) 6-водный, Ч","764"
"100400","Кобальт азотнокислый (II) 6-водный, Ч","199"
"","Вариация #2570 для Касторовое масло, Индия","229"
"","Вариация #2569 для Касторовое масло, Индия","331"
"103098","Касторовое масло, Индия","229"
"103147","Кальций хлористый (хлорид кальция) безводный (гранулы), техн., 0,5 кг","79"
"","Вариация #2564 для Кальций углекислый (карбонат кальция), ХЧ","183"
"","Вариация #2563 для Кальций углекислый (карбонат кальция), ХЧ","760"
"100357","Кальций углекислый (карбонат кальция), ХЧ","183"
"103071","Кальций окись (оксид кальция, негашеная известь) Германия, 0,5 кг","120"
"103156","Кальций гидроокись (гидроксид кальция, гашеная известь), Германия, 0,5 кг","107"
"","Вариация #2557 для Калий-натрий виннокислый 4-водный (калий-натрий тартрат, сегнетова соль), ЧДА","338"
"","Вариация #2556 для Калий-натрий виннокислый 4-водный (калий-натрий тартрат, сегнетова соль), ЧДА","560"
"100167","Калий-натрий виннокислый 4-водный (калий-натрий тартрат, сегнетова соль), ЧДА","84"
"","Вариация #2554 для Калий хромовокислый (хромат калия), ХЧ","173"
"","Вариация #2553 для Калий хромовокислый (хромат калия), ХЧ","781"
"100258","Калий хромовокислый (хромат калия), ХЧ","173"
"101225","Калий сернокислый кислый (бисульфат калия, гидросульфат калия), Ч, 0,5 кг","447"
"","Вариация #2550 для Калий сернокислый (сульфат калия), ЧДА","93"
"","Вариация #2549 для Калий сернокислый (сульфат калия), ЧДА","400"
"100200","Калий сернокислый (сульфат калия), ЧДА","93"
"","Вариация #2547 для Калий надсернокислый (персульфат калия), Ч","102"
"","Вариация #2546 для Калий надсернокислый (персульфат калия), Ч","416"
"101204","Калий надсернокислый (персульфат калия), Ч","102"
"","Вариация #2542 для Калий (иодад калия) иодноватокислый, ЧДА","450"
"","Вариация #2541 для Калий (иодад калия) иодноватокислый, ЧДА","2002"
"100129","Калий (иодад калия) иодноватокислый, ЧДА","450"
"","Вариация #2539 для Калий иодистый (йодид калия), ХЧ","440"
"","Вариация #2538 для Калий иодистый (йодид калия), ХЧ","1931"
"100126","Калий иодистый (йодид калия), ХЧ","440"
"","Вариация #2536 для Калий двухромовокислый (дихромат калия, хромпик), техн.","367"
"","Вариация #2535 для Калий двухромовокислый (дихромат калия, хромпик), техн.","561"
"103093","Калий двухромовокислый (дихромат калия, хромпик), техн.","367"
"020405","Изобутиловый спирт, ЧДА, 0,8 кг","207"
"","Вариация #2532 для Железо сернокислое (II) 7-водное (сульфат железа (II), Ч","136"
"","Вариация #2531 для Железо сернокислое (II) 7-водное (сульфат железа (II), Ч","205"
"070049","Железо сернокислое (II) 7-водное (сульфат железа (II), Ч","136"
"905494","Ерш пробирочный (d=8 мм), синтетическая щетина","52"
"907311","Ерш пробирочный (d=25 мм), синтетическая щетина","47"
"907310","Ерш бутылочный (d = 60 мм), синт. щетина","52"
"051781","Диметилформамид, Ч, 1 кг","242"
"","Вариация #2525 для Диметилглиоксим, ЧДА","187"
"","Вариация #2524 для Диметилглиоксим, ЧДА","558"
"050128","Диметилглиоксим, ЧДА","187"
"170112","Глет свинцовый (оксид свинца, окись свинца) марка Г-2, техн., 1 кг","1206"
"","Вариация #2521 для Гидроксиламин солянокислый, ЧДА","228"
"","Вариация #2520 для Гидроксиламин солянокислый, ЧДА","952"
"040122","Гидроксиламин солянокислый, ЧДА","228"
"","Вариация #2517 для Гидроксиламин солянокислый","637"
"","Вариация #2516 для Гидроксиламин солянокислый","1058"
"443003","Гидроксиламин солянокислый","637"
"903942","Мешалка магнитная MS-20A аналоговая, без подогрева, Германия","27500"
"906811","Мешалка магнитная uniStirrer 3 цифровая с датчиком, Германия","24300"
"903593","Прихватка рукавица 270х200 мм, силикон","84"
"390019","Фильтры зольные черная лента 12,5 см, 100 штук","66"
"","Вариация #2397 для Калий фосфорнокислый однозамещенный, ХЧ","70"
"","Вариация #2396 для Калий фосфорнокислый однозамещенный, ХЧ","284"
"100230","Калий фосфорнокислый однозамещенный, ХЧ","70"
"100201","Калий сернокислый (сульфат калия), ХЧ","230"
"120113","Марганец сернокислый (II) 5-водный, Ч","298"
"","Вариация #2392 для Марганец сернокислый (II) 5-водный, ЧДА","87"
"","Вариация #2391 для Марганец сернокислый (II) 5-водный, ЧДА","372"
"120114","Марганец сернокислый (II) 5-водный, ЧДА","87"
"","Вариация #2388 для ЭДТУК-динатриевая соль (Трилон Б), ЧДА","64"
"","Вариация #2387 для ЭДТУК-динатриевая соль (Трилон Б), ЧДА","262"
"170709","ЭДТУК-динатриевая соль (Трилон Б), ЧДА","64"
"","Вариация #2384 для 2,4-Динитрофенол, ЧДА","236"
"","Вариация #2383 для 2,4-Динитрофенол, ЧДА","849"
"","Вариация #2375 для Медь окись (окись меди) (II) порошок, ЧДА","172"
"","Вариация #2374 для Медь окись (окись меди) (II) порошок, ЧДА","875"
"120180","Медь окись (окись меди) (II) порошок, ЧДА","172"
"909851","Пипетка на частичный слив 10 мл, Германия","255"
"070042","Железо окись (III) (окись железа, железный сурик), ЧДА, 0,5 кг","138"
"905770","Трубка резиновая мед. вакуумная 8х2, 3 метра","140"
"905961","Трубка силиконовая 8х4, 3 метра","1112"
"905143","Трубка силиконовая 6х1, 3 метра","173"
"905137","Трубка силиконовая 5х1.5, 3 метра","203"
"905398","Трубка силиконовая 6х3, 3 метра","659"
"905073","Трубка силиконовая 10х3, 3 метра","945"
"905130","Трубка силиконовая 4х1.5, 3 метра","174"
"905133","Трубка силиконовая 4х2, 3 метра","288"
"905124","Трубка силиконовая 3х1.5, 10 метров","543"
